EQUIPMENTID,TIME_OF_DAY,TOTAL_VOLUME,AVG_SPEED_ARITHMETIC,AVG_SPEED_HARMONIC,AVG_LENGTH,AVG_SPACING,OCCUPANCY
121725_C,00:00:00,38.65666041275797,97.58151969981238,94.23632270168855,503.4558911819887,390.0250469043152,2.029249530956848
121725_C,00:05:00,38.71161048689139,97.78421348314606,94.36320224719101,507.555936329588,392.97554307116104,2.035280898876404
121725_C,00:10:00,37.56367041198502,98.05614232209739,94.67705992509364,500.05631086142324,403.1729213483146,1.953389513108614
121725_C,00:15:00,36.12546816479401,98.08219101123595,94.71616104868914,506.9409737827715,417.50078651685396,1.8988202247191013
121725_C,00:20:00,34.56472795497186,98.27315196998123,94.91688555347092,510.763583489681,430.5751407129456,1.819512195121951
121725_C,00:25:00,32.87429643527204,98.44412757973734,95.0376923076923,502.2724202626642,450.48934333958726,1.7103939962476549
121725_C,00:30:00,32.10486891385768,98.22127340823971,94.8094382022472,508.9698689138576,452.4832397003745,1.6844007490636705
121725_C,00:35:00,30.90262172284644,98.1668913857678,94.80050561797754,514.9312546816479,478.60044943820225,1.6341385767790262
121725_C,00:40:00,28.205992509363295,99.37041198501873,95.9487265917603,523.7788951310861,512.497116104869,1.498988764044944
121725_C,00:45:00,26.00561797752809,98.85668539325843,95.31020599250937,522.4023033707865,541.8029588014982,1.3803370786516855
121725_C,00:50:00,25.374531835205993,98.30895131086143,94.80616104868913,534.0946816479401,546.4127153558053,1.377378277153558
121725_C,00:55:00,23.662921348314608,98.60153558052434,95.15327715355805,555.8091385767791,585.8024531835206,1.3186142322097378
121725_C,01:00:00,22.95684803001876,97.20986866791745,93.4627392120075,577.8282363977486,585.2689681050656,1.3433958724202626
121725_C,01:05:00,24.15917602996255,95.75071161048689,92.15838951310862,544.0044943820225,551.1110299625468,1.3691760299625468
121725_C,01:10:00,20.810861423220974,97.68095505617977,94.33728464419475,547.4114419475655,622.7215543071161,1.1472471910112358
121725_C,01:15:00,19.348314606741575,97.73807116104868,94.3086329588015,556.0952621722846,661.3075655430712,1.083558052434457
121725_C,01:20:00,17.56179775280899,98.39571161048688,94.92893258426967,566.7446816479401,707.1351872659176,0.9913295880149813
121725_C,01:25:00,16.624765478424013,98.65831144465291,94.95939962476548,574.8928142589118,730.8942026266416,0.9466604127579737
121725_C,01:30:00,16.0187617260788,97.76243902439023,94.27658536585365,582.1088555347093,748.9454221388368,0.928874296435272
121725_C,01:35:00,15.894934333958725,97.8002626641651,94.30347091932458,585.7433958724203,737.6244465290807,0.9267542213883677
121725_C,01:40:00,15.288930581613508,98.04313320825516,94.49861163227017,604.6112945590994,774.6025515947466,0.8987429643527204
121725_C,01:45:00,14.21388367729831,98.19422138836772,94.72262664165103,605.7055347091932,806.6110694183865,0.8428705440900562
121725_C,01:50:00,13.179775280898877,98.09621722846441,94.67029962546818,599.7287078651685,823.0990074906367,0.7745318352059926
121725_C,01:55:00,12.644859813084112,98.11207476635514,94.6453644859813,621.8151588785047,855.7907663551401,0.7585046728971963
121725_C,02:00:00,11.883895131086142,97.33619850187266,94.02852059925094,624.9461423220973,867.8223408239701,0.7220599250936329
121725_C,02:05:00,11.50749063670412,97.4348127340824,94.12653558052435,628.804606741573,893.0463108614232,0.7007677902621723
121725_C,02:10:00,11.162921348314606,97.66058052434457,94.31734082397004,634.2643258426966,914.1795131086142,0.6879962546816479
121725_C,02:15:00,11.271028037383177,96.6992523364486,93.32816822429906,659.9440186915888,891.9163177570093,0.7199065420560747
121725_C,02:20:00,10.986915887850467,96.98452336448598,93.78370093457944,656.5151962616823,917.5088224299064,0.6990280373831776
121725_C,02:25:00,10.682242990654206,97.0171214953271,93.82465420560749,666.1000186915888,929.5711775700935,0.6956635514018692
121725_C,02:30:00,10.57943925233645,96.29538317757009,93.2272523364486,679.4686728971963,927.8030841121496,0.6958317757009346
121725_C,02:35:00,10.306542056074766,95.94385046728972,93.02114018691589,681.2352710280373,906.3624112149533,0.6807289719626168
121725_C,02:40:00,10.433644859813084,95.85370093457945,92.94841121495327,669.3262429906541,896.6873644859813,0.6805794392523364
121725_C,02:45:00,9.994392523364485,96.37357009345794,93.22071028037384,685.288168224299,933.3150093457944,0.6607663551401869
121725_C,02:50:00,9.444859813084111,96.61441121495326,93.65897196261683,730.0527663551402,967.6391028037383,0.6694392523364485
121725_C,02:55:00,9.044859813084113,96.65177570093458,93.6138878504673,749.9547663551401,985.4097570093458,0.6442616822429906
121725_C,03:00:00,9.134579439252336,96.86241121495327,93.83687850467291,729.9614579439252,983.7978691588785,0.6700747663551402
121725_C,03:05:00,8.957009345794393,96.32801869158878,93.33743925233645,766.1528971962616,1006.1247289719626,0.6722616822429907
121725_C,03:10:00,9.839252336448599,95.87646728971963,92.76259813084111,768.0200747663552,954.925570093458,0.7121869158878504
121725_C,03:15:00,11.35140186915888,96.07297196261682,93.0963738317757,738.5355327102803,863.8268971962617,0.7998317757009347
121725_C,03:20:00,10.256074766355141,95.76530841121496,92.76179439252336,757.3000747663551,921.6591028037383,0.7308971962616823
121725_C,03:25:00,10.312149532710281,94.68773831775701,91.89284112149532,736.3064485981308,887.1387289719626,0.731177570093458
121725_C,03:30:00,10.362616822429906,95.4813644859813,92.56654205607477,752.4530654205607,919.6391028037383,0.7424299065420561
121725_C,03:35:00,10.191011235955056,95.66205992509363,92.76837078651685,747.3038202247191,903.7740636704119,0.7214794007490636
121725_C,03:40:00,10.94018691588785,96.01818691588785,93.0831214953271,777.1722242990654,877.9709158878504,0.7912710280373831
